item_identifier,pokemon_identifier
root-fossil,lileep
claw-fossil,anorith
helix-fossil,omanyte
dome-fossil,kabuto
old-amber,aerodactyl
armor-fossil,shieldon
skull-fossil,cranidos
odd-keystone,spiritomb
adamant-orb,dialga
lustrous-orb,palkia
soul-dew,latios
soul-dew,latias
deep-sea-tooth,clamperl
deep-sea-tooth,huntail
deep-sea-scale,clamperl
deep-sea-scale,gorebyss
light-ball,pikachu
sea-incense,azurill
lax-incense,wynaut
lucky-punch,chansey
metal-powder,ditto
thick-club,cubone
thick-club,marowak
thick-club,marowak-alola
leek,farfetchd
leek,farfetchd-galar
leek,sirfetchd
quick-powder,ditto
flame-plate,arceus-fire
splash-plate,arceus-water
zap-plate,arceus-electric
meadow-plate,arceus-grass
icicle-plate,arceus-ice
fist-plate,arceus-fighting
toxic-plate,arceus-poison
earth-plate,arceus-ground
sky-plate,arceus-flying
mind-plate,arceus-psychic
insect-plate,arceus-bug
stone-plate,arceus-rock
spooky-plate,arceus-ghost
draco-plate,arceus-dragon
dread-plate,arceus-dark
iron-plate,arceus-steel
odd-incense,mime-jr
rock-incense,bonsly
full-incense,munchlax
wave-incense,mantyke
rose-incense,budew
luck-incense,happiny
pure-incense,chingling
protector,rhydon
protector,rhyperior
electirizer,magmar
electirizer,magmortar
magmarizer,electabuzz
magmarizer,electivire
dubious-disc,porygon2
dubious-disc,porygon-z
reaper-cloth,dusclops
reaper-cloth,dusknoir
razor-claw,sneasel
razor-claw,weavile
razor-fang,gligar
razor-fang,gliscor
gracidea,shaymin
red-orb,groudon
blue-orb,kyogre
jade-orb,rayquaza
enigma-stone,latios
enigma-stone,latias
unown-report,unown
slowpoke-tail,slowpoke
red-scale,gyarados
silver-wing,lugia
rainbow-wing,ho-oh
mystery-egg,togepi
douse-drive,genesect-douse
shock-drive,genesect-shock
burn-drive,genesect-burn
chill-drive,genesect-chill
cover-fossil,tirtouga
plume-fossil,archen
light-stone,reshiram
dark-stone,zekrom
dna-splicers,kyurem
dna-splicers,reshiram
dna-splicers,zekrom
pixie-plate,arceus-fairy
whipped-dream,swirlix
whipped-dream,slurpuff
sachet,spritzee
sachet,aromatisse
gengarite,gengar-mega
gardevoirite,gardevoir-mega
ampharosite,ampharos-mega
venusaurite,venusaur-mega
charizardite-x,charizard-mega
blastoisinite,blastoise-mega
mewtwonite-x,mewtwo-mega
mewtwonite-y,mewtwo-mega
blazikenite,blaziken-mega
medichamite,medicham-mega
houndoominite,houndoom-mega
aggronite,aggron-mega
banettite,banette-mega
tyranitarite,tyranitar-mega
scizorite,scizor-mega
pinsirite,pinsir-mega
aerodactylite,aerodcatyl-mega
lucarionite,lucario-mega
abomasite,abomasnow-mega
kangaskhanite,kangaskhan-mega
gyaradosite,gyarados-mega
absolite,absol-mega
charizardite-y,charizard-mega
alakazite,alakazam-mega
heracronite,heracross-mega
mawilite,mawile-mega
manectite,manectric-mega
garchompite,garchomp-mega
jaw-fossil,tyrunt
sail-fossil,amaura
latiasite,latias-mega
latiosite,latios-mega
swampertite,swampert-mega
sceptilite,sceptile-mega
sablenite,sableye-mega
altarianite,altaria-mega
galladite,gallade-mega
audinite,audino-mega
metagrossite,metagross-mega
sharpedonite,sharpedo-mega
slowbronite,slowbro-mega
steelixite,steelix-mega
pidgeotite,pidgeot-mega
glalitite,glalie-mega
diancite,diancie-mega
prison-bottle,hoopa-mega
cameruptite,camerupt-mega
lopunnite,lopunny-mega
salamencite,salamence-mega
beedrillite,beedrill-mega
eon-flute,latios
eon-flute,latias
pikanium-z,pikachu
decidium-z,decidueye
incinium-z,incineroar
primarium-z,sparkling-aria
marshadium-z,marshadow
aloraichium-z,raichu-alola
snorlium-z,snorlax
eevium-z,eevee
mewnium-z,mew
pikashunium-z,pikachu
zygarde-cube,zygarde
red-nectar,oricorio-baile
yellow-nectar,oricorio-pom-pom
pink-nectar,oricorio-pau
purple-nectar,oricorio-sensu
sun-flute,solgaleo
moon-flute,lunala
fighting-memory,silvally-fighting
flying-memory,silvally-flying
poison-memory,silvally-poison
ground-memory,silvally-ground
rock-memory,silvally-rock
bug-memory,silvally-bug
ghost-memory,silvally-ghost
steel-memory,silvally-steel
fire-memory,silvally-fire
water-memory,silvally-water
grass-memory,silvally-grass
electric-memory,silvally-electric
psychic-memory,silvally-psychic
ice-memory,silvally-ice
dragon-memory,silvally-dragon
dark-memory,silvally-dark
fairy-memory,silvally-fairy
berry-sweet,milcery
black-mane-hair,spectrier
clover-sweet,milcery
flower-sweet,milcery
fossilized-bird,dracozolt
fossilized-bird,arctozolt
fossilized-dino,arctozolt
fossilized-dino,arctovish
fossilized-drake,dracozolt
fossilized-drake,dracovish
fossilized-fish,dracovish
fossilized-fish,arctovish
galarica-cuff,slowpoke-galar
galarica-cuff,slowbro-galar
galarica-twig,slowpoke-galar
galarica-wreath,slowpoke-galar
galarica-wreath,slowking-galar
iceroot-carrot,glastrier
love-sweet,milcery
reins-of-unity,calyrex-shadow
reins-of-unity,calyrex-ice
ribbon-sweet,milcery
rotom-catalog,rotom
rusted-shield,zamazenta
rusted-sword,zacian
shaderoot-carrot,spectrier
smoke-poke-tail,slowpoke
star-sweet,milcery
strawberry-sweet,milcery
sweet-apple,applin
sweet-apple,appletun
tart-apple,applin
tart-apple,flapple
white-mane-hair,glastrier
wooden-crown,calyrex
